Røros Hotell,victim,gang,date,Victim Country,Victim sectors,NumberN/AofN/Aemployees,Sales,Ransom Currency,Ransom Paid
18230,Island Coastal Services Ltd,medusa,27/10/2024,Canada,,,,,
18229,Lakesight Technologies Information,medusa,27/10/2024,Germany,,,,,
18227,Mixfame,killsec,27/10/2024,UAE,,,,,
18226,Texas Tech University Health Sciences Center,interlock,27/10/2024,USA,,,,,
18225,payxpress.co.il,ransomhub,27/10/2024,Israel,,,,,
18224,melangesystems.com,ransomhub,27/10/2024,India,,,,,
18223,Edmov,killsec,27/10/2024,Turkey,,,,,
18222,mkarrari.com.br,ransomhub,27/10/2024,Brazil,,,,,
18221,TV Guide Magazine,play,27/10/2024,USA,,,,,
18220,wescan-services.com 760 GB,blacksuit,26/10/2024,Canada,,,,,
18219,Positive Business Solutions,play,27/10/2024,USA,,,,,
18218,C & C Industries,play,26/10/2024,USA,,,,,
18217,Westwood Country Club,meow,26/10/2024,USA,,,,,
18216,The Eye Clinic Surgicenter,meow,26/10/2024,USA,,,,,
18215,PT Transportasi Gas Indonesia,meow,26/10/2024,Indonesia,,,,,
18214,Bliss Worldwide,killsec,26/10/2024,India,,,,,
18213,wescan-services.com,blacksuit,26/10/2024,Canda,,,,,
18212,Legacy Treatment Services,interlock,26/10/2024,USA,,,,,
18210,Premier Work Support,bianlian,26/10/2024,UK,,,,,
18207,www.olanocorp.com,ransomhub,25/10/2024,Peru,,,,,
18206,Doctor24x7,killsec,25/10/2024,India,,,,,
18205,Delcaper,killsec,25/10/2024,India,,,,,
18204,Government of Brazil,killsec,25/10/2024,Brazil,,,,,
18203,NoBroker,killsec,25/10/2024,India,,,,,
18202,SW Reclaim,killsec,25/10/2024,UK,,,,,
18201,Wilson Tarquin,killsec,25/10/2024,UK,,,,,
18200,Ottawa Valley Handrailing Company Ltd,nitrogen,25/10/2024,UK,,,,,
18199,Evergreen Public Schools (evergreenps.org),fog,25/10/2024,USA,,,,,
18198,De Rose Lawyers,rhysida,25/10/2024,Canada,,,,,
18197,Matouk Bassiouny,raworld,25/10/2024,Egypt,,,,,
18195,hcsgcorp.com,underground,25/10/2024,USA,,,,,
18194,Evergreen Local School District (evgvikings.org),fog,25/10/2024,USA,,,,,
18193,Cucamonga Valley Water District (cvwdwater.com),fog,25/10/2024,USA,,,,,
18192,Niko Resources Ltd.,hunters,25/10/2024,Canada,,,,,
18191,Ambica Steels,hunters,25/10/2024,India,,,,,
18190,The Knesset - Israel,hellcat,25/10/2024,Israel,,,,,
18189,HUBBARDHALL.COM,clop,25/10/2024,USA,,,,,
18188,MESHWORKS,sarcoma,25/10/2024,Australia,,,,,
18187,SRS-Stahl GmbH,sarcoma,25/10/2024,Germany,,,,,
18186,Denkali,lynx,25/10/2024,USA,,,,,
18185,Precision Electrical Systems,lynx,25/10/2024,USA,,,,,
18184,ValueMax Group,lynx,25/10/2024,Singapore,,,,,
18183,deschampsimp.com,blacksuit,25/10/2024,Canada,,,,,
18182,omara-ag.com,blacksuit,25/10/2024,USA,,,,,
18181,nrcs.net,blacksuit,25/10/2024,USA,,,,,
18180,zyloware.com,blacksuit,25/10/2024,USA,,,,,
18179,Groupseco.com,ransomhub,25/10/2024,Belgium,,,,,
18178,unitedsprinkler.com,blacksuit,25/10/2024,USA,,,,,
18177,Centrillion Technologies,cicada3301,25/10/2024,USA,,,,,
18175,Spine by Villamil MD,everest,25/10/2024,USA,,,,,
18174,Digital Engineering,raworld,24/10/2024,Canada,,,,,
18173,Pacific Pulmonary Medical Group,everest,25/10/2024,USA,,,,,
18172,www.resourceinternational.com,ransomhub,24/10/2024 ,USA,Construction,295,N/A,,
18171,Aspen Healthcare,everest,25/10/2024 ,USA,Healtcare,240,$8M,,
18170,www.kciconst.com,ransomhub,24/10/2024 ,USA,Construction,35,$9.5M,,
18169,bulloch.solutions,ransomhub,24/10/2024 ,USA,Services,39,$15.4M,,
18167,Drug and Alcohol Treatment Service,interlock,24/10/2024 ,USA,Healtcare,N/A,N/A,,
18166,tuggleduggins.com,blackbasta,24/10/2024 ,USA,Law,73,$15M,,
18165,"McElroy, Quirk & Burch, APC",bianlian,24/10/2024 ,USA,Services,31,$5.2M,,
18164,www.oma.aero,ransomhub,24/10/2024 ,Mexico,Transport,1111,$815.7M,,
18163,Valu-Trac Investment Management Ltd.,qilin,17/10/2024 ,UK,Finance,41,$5.6M,,
18162,Propak Corp.,qilin,17/10/2024 ,USA,Transport,1690,$522.5M,,
18161,"MRI Radiology Network, P.A. / University MRI",qilin,17/10/2024 ,USA,Education,N/A,N/A,,
18160,Daikin Industries (Thailand) Ltd.,qilin,17/10/2024 ,Thailand,Manufacturing,104,$24M,,
18159,"Aiken Electric Cooperative, Inc.",qilin,17/10/2024 ,USA,Energy,109,$131.5M,,
18158,Transak Inc.,stormous,20/10/2024 ,USA,Finance,86,$7.5M,,
18157,hpecds.com,apt73,24/10/2024 ,UK,Manufacturing,1720,N/A,,
18156,modplan.co.uk,apt73,24/10/2024 ,UK,Construction,85,$51.9M,,
18155,pkaufmann.com,apt73,24/10/2024 ,USA,Retail,294,$47.9M,,
18154,The Getz Group (getz.com.hk),fog,24/10/2024 ,Hong Kong,Marketing,2534,$120.8M,,
18153,Value City NJ (valuecitynj.com),fog,24/10/2024 ,USA,Retail,392,$84.8M,,
18152,carolinaarthritis.com,threeam,24/10/2024 ,USA,Healtcare,33,<$5M,,
18151,Smeg,interlock,24/10/2024 ,Italy,Manufacturing,1465,$505.1M,,
18150,"Apache Mills, Inc. (apachemills.com)",fog,24/10/2024 ,USA,Retail,800,$296.2M,,
18149,mgfsourcing.com,apt73,24/10/2024 ,USA,Retail,550,$116.1M,,
18148,www.northernsafety.com,apt73,24/10/2024 ,USA,Retail,465,$180.3M,,
18147,thompsoncreek.com,apt73,24/10/2024 ,USA,Retail,356,$53.5M,,
18146,www.talonsolutions.co.uk,apt73,24/10/2024 ,UK,Software,<25,<$5M,,
18145,trans-logik.com,apt73,24/10/2024 ,UK,Transport,<25,<$5M,,
18144,thebeautyclick.co.uk,apt73,24/10/2024 ,UK,Services,10,N/A,,
18143,robinhood.com,apt73,24/10/2024 ,USA,Finance,2200,$2.2B,,
18142,drizly.com,apt73,24/10/2024 ,USA,Services,272,N/A,,
18141,filmai.in,apt73,24/10/2024 ,India,N/A,N/A,N/A,,
18140,appen.com,apt73,24/10/2024 ,Australia,Services,992,$273M,,
18139,nanolive.ch,apt73,24/10/2024 ,Switzerland,Manufacturing,74,<$5M,,
18138,Susan Fischgrund,apt73,24/10/2024 ,UK,Healtcare,N/A,N/A,,
18137,Sandro Forte Financial Support,apt73,24/10/2024 ,UK,Finance,N/A,N/A,,
18136,bcllegal.com,cactus,24/10/2024 ,UK,Business,40,$16.7M,,
18135,picsolve.com,cactus,24/10/2024 ,UK,Attractions,222,$14.7M,,
18132,Iron World Manufacturing,play,24/10/2024 ,USA,Manufacturing,86,$20.4M,,
18131,Eagle Industries,play,24/10/2024 ,USA,Industrial,298,$20.6M,,
18130,Mainelli Mechanical Contractors,play,24/10/2024 ,USA,Construction,95,$19.7M,,
18129,TU Parks,play,24/10/2024 ,USA,Construction,36,$14.3M,,
18128,Ivanhoe Club,play,24/10/2024 ,USA,Attractions,80,$13.1M,,
18126,Prince Pipes,raworld,23/10/2024 ,India,Manufacturing,1801,$318.8M,,
18125,P+B Team Aircargo,raworld,23/10/2024 ,Germay,Transport,<25,<$5M,,
18123,LifeMine,lynx,24/10/2024 ,USA,Manufacturing,101,$33.5M,,
18122,The Povman Law Firm,bianlian,24/10/2024 ,USA,Law,<25,<$5M,,
18121,Gluckstein Personal Injury Lawyers,bianlian,24/10/2024 ,Canada,Law,40,<$5M,,
18120,Action Heating & Cooling,play,24/10/2024 ,USA,Construction,<25,$22.2M,,
18119,Wayne County,interlock,23/10/2024 ,USA,Local,3585,$670.9M,,
18118,passivecomponent.com,ransomhub,23/10/2024 ,Taiwan,Technologies,3162,$1.1B,,
18117,By Design LLC,meow,23/10/2024 ,USA,Retail,42,$17.3M,,
18116,Mar-Bal (mar-bal.com),fog,23/10/2024 ,USA,Manufacturing,210,$57M,,
18115,Goshen Central School District (gcsny.org),fog,23/10/2024 ,USA,Education,324,$20.3M,,
18114,Youngs Timber Builders Merchants,meow,23/10/2024 ,UK,Retail,44,$5.6M,,
18113,elnamagnetics.com,ransomhub,23/10/2024 ,USA,Manufacturing,69,$18.6M,,
18112,KEE Process,meow,23/10/2024 ,UK,Energy,108,$7.9M,,
18111,Easterseals,rhysida,23/10/2024,USA,Non profit,1000,$112.6M,,
18110,Tricon Energy,lynx,23/10/2024,USA,Chemicals,400,$2B,,
18109,shipkar.co.in,killsec,23/10/2024,India,Business,<25,<$5M,,
18108,IdeaLab,hunters,22/10/2024,USA,Finance,<25,<$5M,,
18106,Lincoln University (lincolnu.edu),fog,22/10/2024,USA,Education,418,$124.5M,,
18104,Aerotecnic,blacksuit,22/10/2024,Spain,Transport,273,$16.8M,,
18103,Clear Connection ,fog,22/10/2024,USA,Business,<25,$5.8M,,
18102,Precision Steel Services,spacebears,22/10/2024,USA,Industrial,84,$21.8M,,
18100,semna.fr,ransomhub,22/10/2024,France,Manufacturing,14,N/A,,
18099,specpro-inc.com,ransomhub,22/10/2024,USA,Business,386,$18.8M,,
18098,dennissupply.com,ransomhub,22/10/2024,USA,Retail,87,$19.3M,,
18097,polypane.be,ransomhub,22/10/2024,Belgium,Services,<25,<$5M,,
18096,davisbrothersinc.com,ransomhub,22/10/2024,USA,Industrial,<25,<$5M,,
18095,bwdtechnology.com,ransomhub,22/10/2024,USA,Retail,<25,$6.1M,,
18094,lpahorticole.faylbillot.educagri.fr,ransomhub,22/10/2024,France,Education,N/A,N/A,,
18093,tkg.com,ransomhub,22/10/2024,USA,Business,<25,<$5M,,
18091,1doc.sg,ransomhub,22/10/2024,Singapore,Healtcare,<50,N/A,,
18089,"American Mechanical, inc",medusa,22/10/2024,USA,Construction,<25,$14.2M,,
18088,Automha,medusa,22/10/2024,Italy,Industrial,114,$16.4M,,
18086,American Medical Billing,medusa,22/10/2024,USA,Services,<25,<$5M,,
18085,donbosco-landser.net,ransomhub,22/10/2024,France,Education,76,$13.3M,,
18084,mauguio-carnon.com,ransomhub,22/10/2024,France,Services,<25,<$5M,,
18083,boloforms.com,killsec,22/10/2024,India,Industrial,<50,N/A,,
18082,onedayevent.com,killsec,22/10/2024,USA,Insurance,<50,N/A,,
18081,autodukan.com,killsec,22/10/2024,India,Automotive,47,N/A,,
18080,temple-inc.com,blackbasta,21/10/2024,USA,Manufacturing,89,$16.1M,,
18079,milleredge.com,blackbasta,21/10/2024,USA,Retail,200,$42.8M,,
18078,gkcorp.com,blackbasta,21/10/2024,USA,Retail,133,$31M,,
18077,ssbwc.com,blackbasta,21/10/2024,USA,Food,107,$18.5M,,
18076,lewa.com,blackbasta,21/10/2024,Austria,Industrial,641,$297.2M,,
18070,La Tazza D'oro,monti,21/10/2024,Italy,Hospitality,<25,<$5M,,
18069,fordcountrymotors.mx,lockbit3,21/10/2024,Mexico,Automotive,<25,<$5M,,
18068,Teddy SpA,blacksuit,21/10/2024,Italy,Retail,757,$365M,,
18066,Philadelphia Macaroni (philamacaroni.com),fog,21/10/2024,USA,Food,400,$121.2M,,
18065,Schweiger Transport (schweiger-gmbh.de),fog,21/10/2024,Germany,Industrial,81,$15.7M,,
18062,www.stivo.com,ransomhub,21/10/2024,France,Construction,46,$5.4M,,
18061,Trimarc Financial (trimarc.com),fog,21/10/2024,USA,Banking,<25,<$5M,,
18060,Mercury Theatre,hunters,21/10/2024,UK,Business,75,$15.4M,,
18059,yorozu-corp.co.jp,ransomhub,21/10/2024,Japan,Automotive,5779,$1.3B,,
18058,Sanglier Limited,meow,21/10/2024,UK,Chemicals,<25,<$5M,,
18057,Arango Billboard,meow,21/10/2024,USA,Construction,25,$6.4M,,
18056,Country Club El Bosque,arcusmedia,20/10/2024,Peru,Hospitality,78,$9.5M,,
18055,Vasesa,arcusmedia,20/10/2024,Mexico,Healtcare,8,N/A,,
18054,Superior Quality Insurance Agency,arcusmedia,20/10/2024,USA,Business,<25,<$5M,,
18053,Petropolis Pet Resort,arcusmedia,20/10/2024,USA,Healthcare ,33,$9.2M,,
18052,Interbel,arcusmedia,20/10/2024,Spain,Telecommunications,<25,$10.6M,,
18051,qs-group.com,ransomhub,20/10/2024,Italy,Industrial,310,$65.6M,,
18050,Atende Software's,hunters,20/10/2024,Poland,Business,78,$9M,,
18046,apollohospitals.com,killsec,20/10/2024,India,Hospitality,83147,$2.3B,,
18045,rcschools.net,blacksuit,19/10/2024,USA,Education,5700,$202.8M,,
18044,mopsohio.com,blacksuit,19/10/2024,USA,Hospitality,74,<$5M,,
18043,Kansas City Hospice,blacksuit,19/10/2024,USA,Healtcare,265,$25.6M,,
18042,sizeloveconstruction.com,ransomhub,19/10/2024,USA,Construction,269,<$5M,,
